Year,Month,NumberOfDelFlights,AvgDelayInMin,AvgCarrierDelayInMin,AvgWeatherDelayInMin,AvgNASDelayInMinutes,AvgSecurityDelayInMin,AvgLateAircraftDelayInMin
2018,4,4,50.8,2.5,0.0,44.5,0.0,3.8
2018,8,5,138.8,4.6,17.4,10.4,0.0,106.4
2018,9,1,79.0,3.0,0.0,54.0,0.0,22.0
