HoursInterval,NumberOfFlights,DelayedMoreThan15MinPercentage,CancelledPercentage,DivertedPercentage
0001-0559,1,0.0,0.0,0.0
0600-0659,1,0.0,0.0,0.0
0800-0859,1,100.0,0.0,0.0
1000-1059,2,50.0,0.0,0.0
1100-1159,1,100.0,0.0,0.0
1300-1359,12,25.0,0.0,0.0
1400-1459,5,0.0,0.0,0.0
1600-1659,3,66.7,0.0,0.0
1700-1759,1,100.0,0.0,0.0
1900-1959,2,0.0,0.0,0.0
2000-2059,2,50.0,0.0,0.0
2100-2159,1,0.0,0.0,0.0
